name,type,source,mean,sd,lowend,highend
52,2014,Seagrass,0.053,0.056,0,0.161
53,2016,Estuarine,0.02,0.038,0,0.099
53,2016,Freshwater,0.977,0.039,0.851,1
53,2016,Seagrass,0.003,0.007,0,0.015
54,2016,Estuarine,0.013,0.027,0,0.064
54,2016,Freshwater,0.985,0.028,0.9,1
54,2016,Seagrass,0.002,0.006,0,0.011
55,2016,Estuarine,0.035,0.059,0,0.166
55,2016,Freshwater,0.952,0.064,0.77,1
55,2016,Seagrass,0.013,0.024,0,0.069
56,2016,Estuarine,0.893,0.088,0.688,0.996
56,2016,Freshwater,0.094,0.082,0.001,0.256
56,2016,Seagrass,0.013,0.027,0,0.072
57,2016,Estuarine,0.014,0.028,0,0.066
57,2016,Freshwater,0.983,0.029,0.9,1
57,2016,Seagrass,0.003,0.007,0,0.017
58,2016,Estuarine,0.031,0.053,0,0.148
58,2016,Freshwater,0.961,0.056,0.799,1
58,2016,Seagrass,0.008,0.017,0,0.043
59,2016,Estuarine,0.024,0.044,0,0.117
59,2016,Freshwater,0.972,0.045,0.841,1
59,2016,Seagrass,0.004,0.01,0,0.022
60,2016,Estuarine,0.025,0.044,0,0.124
60,2016,Freshwater,0.97,0.046,0.834,1
60,2016,Seagrass,0.005,0.011,0,0.026
61,2016,Estuarine,0.071,0.095,0,0.271
61,2016,Freshwater,0.921,0.097,0.673,1
61,2016,Seagrass,0.008,0.016,0,0.045
62,2016,Estuarine,0.092,0.111,0,0.322
62,2016,Freshwater,0.9,0.111,0.629,1
62,2016,Seagrass,0.008,0.017,0,0.043
63,2016,Estuarine,0.037,0.059,0,0.174
63,2016,Freshwater,0.955,0.062,0.775,1
63,2016,Seagrass,0.008,0.017,0,0.045
64,2017,Estuarine,0.049,0.068,0,0.202
64,2017,Freshwater,0.943,0.07,0.75,1
64,2017,Seagrass,0.008,0.016,0,0.042
65,2017,Estuarine,0.035,0.055,0,0.153
65,2017,Freshwater,0.961,0.057,0.794,1
65,2017,Seagrass,0.004,0.009,0,0.021
66,2017,Estuarine,0.021,0.037,0,0.1
66,2017,Freshwater,0.975,0.038,0.858,1
66,2017,Seagrass,0.003,0.007,0,0.016
67,2017,Estuarine,0.914,0.08,0.712,0.998
67,2017,Freshwater,0.079,0.078,0,0.236
67,2017,Seagrass,0.007,0.016,0,0.04
68,2017,Estuarine,0.869,0.11,0.618,0.996
68,2017,Freshwater,0.124,0.108,0.001,0.329
68,2017,Seagrass,0.007,0.015,0,0.035
69,2017,Estuarine,0.788,0.169,0.425,0.994
69,2017,Freshwater,0.116,0.094,0.001,0.288
69,2017,Seagrass,0.097,0.108,0,0.296
70,2017,Estuarine,0.034,0.051,0,0.145
70,2017,Freshwater,0.954,0.057,0.803,1
70,2017,Seagrass,0.013,0.024,0,0.07
71,2017,Estuarine,0.017,0.03,0,0.077
71,2017,Freshwater,0.98,0.032,0.883,1
71,2017,Seagrass,0.003,0.008,0,0.018
72,2017,Estuarine,0.015,0.026,0,0.07
72,2017,Freshwater,0.982,0.028,0.903,1
72,2017,Seagrass,0.003,0.008,0,0.019
73,2017,Estuarine,0.032,0.048,0,0.138
73,2017,Freshwater,0.963,0.05,0.82,1
73,2017,Seagrass,0.005,0.012,0,0.028
74,2017,Estuarine,0.021,0.035,0,0.096
74,2017,Freshwater,0.972,0.039,0.862,1
74,2017,Seagrass,0.007,0.015,0,0.037
75,2017,Estuarine,0.898,0.09,0.678,0.997
75,2017,Freshwater,0.093,0.087,0.001,0.265
75,2017,Seagrass,0.01,0.021,0,0.051
76,2017,Estuarine,0.395,0.186,0.004,0.683
76,2017,Freshwater,0.586,0.176,0.247,0.904
76,2017,Seagrass,0.019,0.032,0,0.089
77,2017,Estuarine,0.014,0.025,0,0.065
77,2017,Freshwater,0.983,0.026,0.907,1
77,2017,Seagrass,0.003,0.008,0,0.017
78,2017,Estuarine,0.049,0.072,0,0.209
78,2017,Freshwater,0.944,0.073,0.74,1
78,2017,Seagrass,0.007,0.016,0,0.04
79,2017,Estuarine,0.031,0.048,0,0.135
79,2017,Freshwater,0.962,0.051,0.818,1
79,2017,Seagrass,0.008,0.017,0,0.047
80,2017,Estuarine,0.059,0.08,0,0.231
80,2017,Freshwater,0.928,0.083,0.714,1
80,2017,Seagrass,0.013,0.026,0,0.073
81,2018,Estuarine,0.031,0.049,0,0.143
81,2018,Freshwater,0.959,0.053,0.813,1
81,2018,Seagrass,0.01,0.02,0,0.053
82,2018,Estuarine,0.342,0.204,0.003,0.665
82,2018,Freshwater,0.59,0.162,0.248,0.84
82,2018,Seagrass,0.069,0.067,0,0.188
83,2018,Estuarine,0.033,0.054,0,0.151
83,2018,Freshwater,0.957,0.057,0.798,1
83,2018,Seagrass,0.009,0.018,0,0.052
84,2018,Estuarine,0.586,0.167,0.256,0.873
84,2018,Freshwater,0.391,0.154,0.051,0.626
84,2018,Seagrass,0.024,0.036,0,0.105
85,2018,Estuarine,0.048,0.069,0,0.198
85,2018,Freshwater,0.942,0.071,0.747,1
85,2018,Seagrass,0.01,0.019,0,0.051
86,2018,Estuarine,0.403,0.182,0.002,0.673
86,2018,Freshwater,0.581,0.174,0.24,0.904
86,2018,Seagrass,0.017,0.028,0,0.078
87,2018,Estuarine,0.048,0.068,0,0.202
87,2018,Freshwater,0.945,0.07,0.758,1
87,2018,Seagrass,0.007,0.015,0,0.04
88,2018,Estuarine,0.11,0.13,0,0.37
88,2018,Freshwater,0.881,0.13,0.568,1
88,2018,Seagrass,0.009,0.018,0,0.047
89,2018,Estuarine,0.138,0.135,0,0.389
89,2018,Freshwater,0.819,0.128,0.548,0.998
89,2018,Seagrass,0.042,0.048,0,0.136
90,2018,Estuarine,0.029,0.048,0,0.132
90,2018,Freshwater,0.966,0.051,0.819,1
90,2018,Seagrass,0.005,0.012,0,0.029
91,2019,Estuarine,0.071,0.098,0,0.28
91,2019,Freshwater,0.919,0.099,0.666,1
91,2019,Seagrass,0.011,0.02,0,0.058
92,2019,Estuarine,0.076,0.097,0,0.278
92,2019,Freshwater,0.915,0.098,0.662,1
92,2019,Seagrass,0.009,0.018,0,0.046
93,2019,Estuarine,0.038,0.06,0,0.171
93,2019,Freshwater,0.955,0.062,0.778,1
93,2019,Seagrass,0.006,0.014,0,0.036
94,2019,Estuarine,0.042,0.066,0,0.185
94,2019,Freshwater,0.952,0.068,0.759,1
94,2019,Seagrass,0.005,0.011,0,0.029
95,2019,Estuarine,0.809,0.131,0.533,0.99
95,2019,Freshwater,0.182,0.129,0.002,0.404
95,2019,Seagrass,0.01,0.018,0,0.048
96,2019,Estuarine,0.085,0.104,0,0.307
96,2019,Freshwater,0.875,0.104,0.642,0.999
96,2019,Seagrass,0.04,0.048,0,0.137
97,2019,Estuarine,0.04,0.062,0,0.174
97,2019,Freshwater,0.954,0.064,0.774,1
97,2019,Seagrass,0.005,0.011,0,0.028
98,2019,Estuarine,0.084,0.1,0,0.29
98,2019,Freshwater,0.902,0.101,0.664,1
98,2019,Seagrass,0.014,0.025,0,0.073
99,2020,Estuarine,0.626,0.155,0.355,0.96
99,2020,Freshwater,0.07,0.067,0.001,0.2
99,2020,Seagrass,0.304,0.127,0,0.459
100,2020,Estuarine,0.95,0.056,0.793,0.999
100,2020,Freshwater,0.043,0.054,0,0.161
100,2020,Seagrass,0.007,0.013,0,0.03
101,2020,Estuarine,0.294,0.17,0.005,0.559
101,2020,Freshwater,0.205,0.12,0.006,0.405
101,2020,Seagrass,0.502,0.079,0.329,0.609
102,2020,Estuarine,0.08,0.089,0,0.262
102,2020,Freshwater,0.898,0.091,0.683,0.999
102,2020,Seagrass,0.022,0.03,0,0.087
103,2021,Estuarine,0.029,0.049,0,0.135
103,2021,Freshwater,0.938,0.063,0.788,1
103,2021,Seagrass,0.033,0.042,0,0.117
104,2021,Estuarine,0.012,0.023,0,0.059
104,2021,Freshwater,0.984,0.026,0.913,1
104,2021,Seagrass,0.004,0.009,0,0.022
105,2021,Estuarine,0.02,0.036,0,0.092
105,2021,Freshwater,0.958,0.05,0.83,1
