season,site,Source,species_name,functional_grp,group,sampleID,d13C,C%,d15N,N%,d34S,S%
dry19,SRS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS-PALPAL-2,-31.13,28.03640909,7.49,7.896693182,21.96,0.600929919
dry19,SRS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS-PALPAL-3,-30.48,34.73113253,7.4,9.860807229,22.08,0.726988636
dry19,TS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,TSL-PALPAL-1,-28.57,33.97319355,6.57,9.541112903,13.68,0.656815642
dry19,TS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,TSL-PALPAL-2,-29.2,29.76259783,6.43,8.141119565,13.01,0.698372093
dry19,TS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,TSL-PALPAL-3,-28.22,30.85750667,6.6,9.138026667,13.47,0.756976744
dry19,SRS4,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS4 GS1,-28.14,42.743,8.54,10.88,9.48,0.937
dry19,SRS4,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS4 GS1 dup,-27.35,43.044,9.27,10.797,12.14,0.867
dry19,TS9,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,TS9 GS1,-18.55,38.685,11.61,8.317,15.04,0.881
dry19,SRS6,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS6 GS1,-27.56,37.772,9.17,9.291,11.54,1.078
dry19,RB10,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,RB10 GS2,-31.61,41.218,12.08,11.035,25.06,0.793
dry19,SRS4,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS4 GS2,-28.13,33.822,10.14,9.116,12.21,1.035
dry19,SRS4,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,SRS4_G51_d19,-27.75,44.18191753,9.65,11.84185567,9.92,0.95
wet19,RB10,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-RB10-Ppa1,-30.23,38.11389091,11.05,10.79857273,22.31,1.01
wet19,RB10,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-RB10-Ppa2,-30.82,44.35268,11.27,12.32,21.73,0.98
wet19,SRS6,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-SRS6-Ppa1,-26.28,45.18758,8.25,13.2598,2.37,1.18
wet19,TS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-TS3-Ppa1,-27.53,43.43395,7.03,10.12116667,11.76,1.06
wet19,TS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-TS3-Ppa2,-27.58,39.9372375,6.59,9.298888889,11.54,1.22
wet19,SRS4,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-SRS4-Ppa1,-30.21,36.19974,8.34,10.98225,9.23,0.94
wet19,SRS4,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-SRS4-Ppa2,-28.82,38.31443636,8.01,10.283,8.96,0.79
wet19,TS3,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-TS3-Ppa3,-27.27,40.58164286,6.57,10.0644,11.83,1.06
wet19,SRS6,Ghost Shrimp,Palaemonetes paludosus,Shrimp,Consumer,W19-SRS6-Ppa2,-24.66,44.90968889,8.54,13.84,5.23,1.32
wet19,SRS3,Giant Water Bug,Belastoma sp.,Insect,Consumer,W19-SRS3-Bel1,-32.83,43.53719091,6.36,10.46509091,22.58,0.45
wet19,SRS3,Giant Water Bug,Belastoma sp.,Insect,Consumer,W19-SRS3-Bel2,-31.66,40.012,5.73,10.69025,23.45,0.51
dry19,SRS3,Golden topminnow,Fundulus chrysotus,Forage_fish,Consumer,SRS-FUNCHR-1,-28.1,26.66152174,9.47,7.513108696,19.82,0.573669725
dry19,SRS3,Golden topminnow,Fundulus chrysotus,Forage_fish,Consumer,SRS-FUNCHR-2,-28.31,38.50933333,9.13,10.03630159,21.06,0.539294118
dry19,SRS3,Golden topminnow,Fundulus chrysotus,Forage_fish,Consumer,SRS-FUNCHR-3,-29.13,30.04610989,9.34,7.893406593,21.11,0.603977636
dry19,RB10,Golden topminnow,Fundulus chrysotus,Forage_fish,Consumer,RB10 TM1,-27.93,35.955,9.85,10.113,24.67,0.747
wet19,SRS6,Golden Topminnow,Fundulus chrysotus,Forage_fish,Consumer,W19-SRS6-Fch1,-26.9,34.50966667,8.42,10.72846154,0.51,1.01
